R01,R02,R03,RB,R10_12,R13_15,R16,R17,R18,R19,R20,R21,R22,R23,R24,R25,R26,R27,R28,R29,R30,R31_32,R33,RD,R36,R37_39,RF,R45,R46,R47,R49,R50,R51,R52,R53,RI,R58,R59_60,R61,R62_63,R64,R65,R66,R68B,R68A,R69_70,R71,R72,R73,R74_75,R77,R78,R79,R80_82,R84,RP,R86,R87_88,R90_92,R93,R94,R95,R96,RT
482.343,58.251,335.176,789.023,3241.196,65.88,211.497,79.471,68.746,0,0,516.121,1397.288,88.267,77.681,299.659,39.503,560.676,428.041,105.577,145.904,324.847,473.112,139.637,38.072,1823.568,8640.3,831.526,1791.918,1025.609,2407.984,27.764,35.565,172.255,73.624,322.113,167.442,120.751,83.122,173.892,27.547,9.876,31.599,233.424,645.414,200.055,328.993,81.35,96.551,80.329,115.259,72.009,11.882,566.356,266.383,265.557,209.844,358.197,134.537,43.474,77.942,4.303,32.843,0
65.733,4.01,144.772,1488.497,348.261,10.085,578.019,7.067,9.167,0,0,77.307,106.659,4310.313,132.921,261.479,56.895,38.358,122.853,88.058,538.595,44.552,187.431,39.251,29.26,80.278,22594.307,185.919,455.646,188.358,58.994,2.2,14.105,1193.967,3.745,497.267,40.419,24.774,14.557,42.345,17.628,5.813,5.184,236.445,1512.4,20.216,55.901,23.268,19.248,8.791,30.001,8.207,2.566,61.306,1388.84,256.455,86.47,157.943,41.064,30.272,7.889,0.651,2.56,0
13.448,0.333,147.636,2471.037,81.077,171.291,259.16,4.937,75.827,0,0,53.407,113.447,563.907,27657.841,5368.022,238.429,3744.028,2155.832,1900.919,1603.996,717.187,1473.58,5.179,160.484,357.571,1466.483,356.563,588.604,346.16,5.298,0.447,14.615,1048.062,0.655,19.664,36.055,4.114,24.246,12.102,21.108,16.052,8.956,12.673,7.229,7.47,16.295,4,24.072,3.354,11.102,3.227,3.964,17.047,27.507,18.776,12.145,350.498,26.196,22.052,8.128,0.719,1.292,0
209.042,54.929,1099.233,3752.664,1431.869,78.376,596.777,32.22,87.814,0,0,386.019,81.581,471.904,1647.849,7405.22,1972.323,533.178,4124.671,208.935,6417.076,133.771,2643.739,243.307,152.863,494.747,10884.096,654.565,1031.956,965.653,87.987,175.371,58.773,3197.174,24.918,234.014,151.321,180.811,93.651,250.629,35.885,16.868,28.799,204.285,107.597,170.239,426.254,155.025,101.213,74.92,397.581,68.988,22.577,348.089,1293.475,175.691,320.47,383.167,319.715,73.111,186.662,42.144,30.569,0
54.627,35.181,253.343,876.038,158.554,8.343,59.639,23.772,73.726,0,0,138.703,63.842,84.132,23.36,529.553,4005.585,855.245,439.285,42.246,918.499,19.712,775.096,224.819,131.302,303.873,2118.937,529.933,1466.076,1124.254,37.025,4.686,11.839,686.054,465.568,64.456,364.225,1011.88,284.361,904.448,407.778,9.34,720.552,407.726,2.543,278.366,3595.339,333.196,1006.101,1114.526,498.279,134.676,6.528,2226.754,2630.922,964.141,2035.214,354.101,175.107,141.401,181.371,234.302,14.988,0
54.769,28.533,560.265,891.49,310.436,49.279,168.67,17.882,42.251,0,0,164.05,50.233,212.479,956.989,321.286,770.058,3586.053,813.393,304.594,866.053,91.759,1266.585,101.02,25.713,85.751,13740.907,199.121,1387.55,1156.08,983.795,33.341,30.516,1404.182,33.369,243.371,72.318,167.332,90.341,113.498,50.061,37.173,42.793,177.136,62.383,164.386,324.089,56.05,276.716,58.82,182.837,73.36,21.352,378.308,641.046,245.856,223.925,267.214,558.274,152.813,110.201,137.679,429.474,0
78.867,76.472,1987.433,10804.989,691.469,29.349,286.945,57.304,71.48,0,0,243.391,58.001,495.158,183.08,434.869,683.829,141.11,7092.714,293.622,2623.287,51.469,2737.192,181.333,29.585,191.24,6978.267,2293.848,3909.653,645.606,897.875,351.63,15.035,6533.667,35.306,46.606,284.296,54.237,250.523,641.608,62.582,60.513,9.126,368.891,324.618,188.998,290.727,208.205,295.983,225.817,2047.23,60.862,14.792,1486.205,349.343,108.288,181.001,136.921,116.906,276.057,64.768,5.45,12.531,0
2.079,1.003,11.104,231.598,24.618,1.528,6.911,2.386,1.359,0,0,11.716,2.003,8.626,16.857,7.722,3.039,4.243,19.126,240.445,8.529,2.109,9.501,2.895,1.011,8.743,66.848,9948.136,21.52,1064.934,852.491,0.436,3.813,13.571,1.163,5.478,5.136,2.898,12.546,7.117,5.111,5.029,1.935,7.061,1.527,2.385,7.317,2.29,5.681,1.387,5.63,1.091,0.55,7.752,70.745,4.089,8.489,122.271,5.528,1.877,134.235,0.132,0.531,0
13.476,11.564,746.926,3587.002,540.997,22.295,226.15,41.835,57.012,0,0,182.169,44.146,352.308,133.429,319.553,106.475,87.724,306.757,116.844,4768.215,36.875,2523.19,11.251,6.468,90.231,933.504,77.724,97.292,83.99,189.133,726.384,590.033,130.177,10.043,43.798,57.411,24.77,214.286,83.459,28.489,58.958,7.675,88.026,1.431,14.522,32.134,9.191,20.766,5.975,83.148,6.395,12.453,28.265,1460.285,37.429,37.036,177.35,52.421,46.315,92.682,3.131,2.963,0
24.099,4.47,184.555,107.634,116.63,31.925,57.934,4.451,10.649,0,0,33.661,28.049,50.436,22.909,46.641,22.317,191.505,56.353,152.525,217.151,1256.411,42.928,239.329,10.673,17.339,2588.439,309.977,2748.583,1004.625,62.213,13.112,24.412,136.423,14.396,522.066,201.841,109.292,131.988,432.385,398.692,91.897,33.969,708.783,684.171,1039.21,1495.532,41.095,1187.2,159.142,1113.049,120.481,12.438,1278.569,146.747,125.729,616.731,1141.411,414.781,290.565,469.066,22.988,383.425,0
76.919,81.704,1628.087,3145.982,1983.756,69.076,562.865,242.965,142.375,0,0,746.104,154.601,867.601,495.224,588.486,248.887,200.365,2910.142,78.563,1112.997,106.985,933.399,22.359,28.218,325.862,2854.543,97.423,280.039,251.891,2730.071,3663.969,1808.243,627.651,84.293,68.936,220.921,84.228,911.763,337.161,73.394,223.84,20.918,436.429,16.257,54.388,89.217,15.799,23.348,17.79,475.412,24.982,21.746,94.527,577.988,170.144,168.236,250.845,185.438,194.609,62.248,18,22.022,0
758.181,27.404,530.413,1732.742,1732.564,67.456,389.088,1163.219,86.646,0,0,2788.241,151.319,368.951,7254.678,343.254,65.853,131.668,275.372,92.939,351.82,99.077,517.027,2798.083,170.214,557.606,2344.059,515.832,801.464,1809.435,984.187,54.278,27.456,911.523,76.206,1067.782,105.859,101.958,146.365,285.84,95.444,79.134,59.192,2667.339,68.638,163.257,345.928,80.808,48.198,75.71,330.445,60.039,69.139,304.396,4250.08,1549.89,966.917,892.363,315.413,263.87,378.55,9.067,179.212,0
0.605,0.296,1.03,24.928,33.435,2.281,2.651,2.47,1.112,0,0,21.574,1.544,4.453,9.199,5.544,5.123,3.313,7.96,2.21,6.143,3.894,8.537,1.302,321.316,1.024,11.711,5.266,11.565,6.947,2.742,2.264,0.24,25.829,0.251,1.833,5.396,8.899,1.432,20.059,6.823,1.484,1.645,601.55,0,4.214,24.101,2.426,7.83,0.792,2.285,1.971,0.504,3.162,604.215,467.182,90.195,160.257,15.531,2.646,21.98,0.16,0.475,0
